German,English
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,one
in,in
ja,Yes
mir,me
mit,With
wie,as
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
hier,here
haben,to have
für,For
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,No
habe,have
an,at
bin,am
noch,yet
nur,just
da,there
dir,to you
sich,themselves
einen,one
uns,us
hast,have
dem,the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,his
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,White
keine,no
oder,or
nach,after
s,s
nichts,Nothing
man,you
muss,got to
werden,will
will,want
ihnen,them
geht,going
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
sagen,say
machen,do
danke,Thank you
sehr,very
alle,all
denn,because
mann,man
tun,to do
ihm,him
zum,to the
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,who
ihre,your
diese,these
euch,to you
einer,one
komm,come over
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,yours
müssen,have to
soll,should
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,path
würde,would
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,coming
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted
weißt,know
ok,OK
sicher,for sure
gesagt,told
frau,Mrs
nun,now
bis,to
wurde,has been
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zurück,back
lassen,to let
hallo,Hello
meinen,say
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,I agree
waren,were
zur,to
lass,let
klar,clear
morgen,tomorrow
leute,People
vater,father
schön,beautiful
glaube,faith
mr.,mr.
ab,from
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,by
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,made
paar,pair
mach,mach
passiert,happens
dachte,thought
besser,better
musst,must
wieso,how so
sir,sir
dieses,this
selbst,even
gehört,heard
möchte,would like to
ohne,without
hör,hear
her,here
sag,say
meiner,mine
anderen,other
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,will
lange,Long
natürlich,Naturally
ach,Oh
meinem,my
gar,at all
ins,in the
sei,be
dort,there
weiter,continue
geben,give
seit,since
gleich,equal
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from
hören,Listen
sieht,looks
davon,from that
dafür,for this
geh,go
diesem,this
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,down
sollen,should
abend,Eve
haus,House
denke,think
viele,lots
drei,three
deinen,your
freund,friend
guten,good
unser,our
warte,wait
machst,doing
menschen,People
essen,eat
angst,anxiety
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,done
darf,may
erst,first
rein,purely
stimmt,Right
nehmen,to take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,need
gegen,against
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
